Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Exports of goods and services (constant 2015 US$) [NE.EXP.GNFS.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Net official aid received (constant 2018 US$) [DT.ODA.OATL.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Net investment in nonfinancial assets (% of GDP) [GC.NFN.TOTL.GD.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
1990,Afghanistan,,,,,,,50.331,,,
1990,Algeria,-1.754076492,3123.995683,31897557677,,17.7051867,,66.938,,0.0005397619998,30.25959854
1990,Angola,-6.657467258,2998.780751,,,28.95861914,,45.306,,-2.979634931,14.00743982
1990,Bangladesh,3.086982001,512.0965895,1631244400,,0.5372154964,,58.21,,0.0102498456,6.532735292
1990,Belize,9.017296211,3147.26776,259612886.4,28.12904944,0.7637496963,,71.242,10.97997774,4.173881521,0.1728661674
1990,Benin,5.50734312,795.0716554,616946150.6,,7.735959675,,53.812,,-0.150760025,2.176596925
1990,Bhutan,8.588875735,786.1482482,127304688.4,53.34635933,6.008754522,,52.878,12.76183095,0.5562157063,6.205353076
1990,Bolivia,2.445135201,1744.311992,2717359710,,7.266619363,,56.099,2.190617243,0.5587989382,16.26793991
1990,Burkina Faso,-3.211259863,345.2841565,388347994,,6.816249935,,49.454,,0.01483248653,1.810015422
1990,Burundi,0.9900419519,438.7125203,,,13.37103254,,47.829,,0.1108942102,5.985561541
1990,Cabo Verde,-1.325824948,849.082714,,,0.5992865097,,64.676,,0.08230972179,2.345310322
1990,Cambodia,,,,,,,53.595,,,
1990,Cameroon,-8.929512306,1237.018763,3514226054,,13.10435184,,53.362,,-0.9162491452,1.643098431
1990,Central African Republic,-4.274369188,531.8557205,,,6.365328356,,49.104,,0.04843788056,1.836645106
1990,Chad,-7.220593969,419.4465074,,,7.517348187,,47.019,,0.5406631744,8.012329035
1990,Comoros,2.03755008,1285.341581,41067351.32,,0.7330427038,,56.677,,0.0914764534,2.1759123
