Country,Subject Descriptor,Units,1990,1995,2000,2005,2010,2015
Afghanistan,"Gross domestic product, constant prices",National currency,,,,554.91,899.956,"1,197.01"
Afghanistan,"Gross domestic product, constant prices",Percent change,,,,11.83,8.438,0.988
Afghanistan,"Gross domestic product, current prices",National currency,,,,304.926,711.759,"1,226.57"
Afghanistan,"Gross domestic product, current prices",U.S. dollars,,,,6.167,15.325,20.057
Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,,,,25.982,46.309,72.056
Afghanistan,"Gross domestic product, deflator",Index,,,,54.951,79.088,102.469
Afghanistan,"Gross domestic product per capita, constant prices",National currency,,,,"26,491.22","37,083.17","42,110.88"
Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,,,,"1,576.70","2,207.11","2,506.35"
Afghanistan,"Gross domestic product per capita, current prices",National currency,,,,"14,557.09","29,328.41","43,150.71"
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,,,,294.396,631.49,705.597
Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,,,,"1,240.38","1,908.19","2,534.92"
Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,,0.038,0.052,0.065
Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,,,11.736,15.37,17.023
Afghanistan,Total investment,Percent of GDP,,,,37.048,30.269,18.467
Afghanistan,Gross national savings,Percent of GDP,,,,67.274,59.699,22.176
Afghanistan,"Inflation, average consumer prices",Index,,,,54.566,76.229,101.296
Afghanistan,"Inflation, average consumer prices",Percent change,,,,10.569,2.179,-0.662
Afghanistan,"Inflation, end of period consumer prices",Index,,,,57.219,81.814,104.218
Afghanistan,"Inflation, end of period consumer prices",Percent change,,,,10.562,10.246,1.131
Afghanistan,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Afghanistan,Volume of imports of goods and services,Percent change,,,,54.659,32.771,16.07
Afghanistan,Volume of Imports of goods,Percent change,,,,50.988,34,24.27
Afghanistan,Volume of exports of goods and services,Percent change,,,,46.504,10.856,-11.653
Afghanistan,Volume of exports of goods,Percent change,,,,17.471,-2.253,12.886
Afghanistan,Unemployment rate,Percent of total labor force,,,,,,
Afghanistan,Employment,Persons,,,,,,
Afghanistan,Population,Persons,,,,20.947,24.269,28.425
Afghanistan,General government revenue,National currency,,,,44.926,154.612,301.356
Afghanistan,General government revenue,Percent of GDP,,,,14.733,21.722,24.569
Afghanistan,General government total expenditure,National currency,,,,47.868,148.052,318.255
Afghanistan,General government total expenditure,Percent of GDP,,,,15.698,20.801,25.947
Afghanistan,General government net lending/borrowing,National currency,,,,-2.941,6.56,-16.898
Afghanistan,General government net lending/borrowing,Percent of GDP,,,,-0.965,0.922,-1.378
Afghanistan,General government structural balance,National currency,,,,,,
Afghanistan,General government structural balance,Percent of potential GDP,,,,,,
Afghanistan,General government primary net lending/borrowing,National currency,,,,-2.797,6.643,-16.27
Afghanistan,General government primary net lending/borrowing,Percent of GDP,,,,-0.917,0.933,-1.326
Afghanistan,General government net debt,National currency,,,,,,
Afghanistan,General government net debt,Percent of GDP,,,,,,
Afghanistan,General government gross debt,National currency,,,,629.234,54.784,112.281
Afghanistan,General government gross debt,Percent of GDP,,,,206.356,7.697,9.154
Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,,,,304.926,711.759,"1,226.57"
Afghanistan,Current account balance,U.S. dollars,,,,1.864,4.51,0.744
Afghanistan,Current account balance,Percent of GDP,,,,30.226,29.43,3.709
Albania,"Gross domestic product, constant prices",National currency,351.279,306.47,391.33,520.544,673.204,735.657
Albania,"Gross domestic product, constant prices",Percent change,-10,8.9,6.946,5.526,3.707,2.219
Albania,"Gross domestic product, current prices",National currency,20.006,267.424,501.199,804.163,"1,239.65","1,434.31"
Albania,"Gross domestic product, current prices",U.S. dollars,2.221,2.882,3.483,8.052,11.937,11.389
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,9.782,9.633,13.362,19.933,28.331,33.595
Albania,"Gross domestic product, deflator",Index,5.695,87.259,128.076,154.485,184.141,194.97
Albania,"Gross domestic product per capita, constant prices",National currency,"106,884.08","96,138.99","126,683.82","172,852.94","231,101.54","255,373.98"
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"5,095.15","4,582.93","6,039.00","8,239.88","11,016.58","12,173.64"
Albania,"Gross domestic product per capita, current prices",National currency,"6,087.18","83,890.18","162,251.41","267,031.94","425,552.92","497,901.38"
Albania,"Gross domestic product per capita, current prices",U.S. dollars,675.736,903.989,"1,127.64","2,673.77","4,097.83","3,953.61"
Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"2,976.25","3,021.70","4,325.59","6,619.06","9,725.55","11,662.00"
Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.035,0.025,0.027,0.029,0.032,0.03
Albania,Implied PPP conversion rate,National currency per current international dollar,2.045,27.763,37.51,40.343,43.756,42.694
Albania,Total investment,Percent of GDP,49.84,25.746,30.796,36.87,31.318,26.237
Albania,Gross national savings,Percent of GDP,41.016,21.481,23.768,27.784,20.023,15.804
Albania,"Inflation, average consumer prices",Index,3.385,36.605,66.582,77.855,89.8,100
Albania,"Inflation, average consumer prices",Percent change,-0.18,7.794,0.039,2.363,3.615,1.868
Albania,"Inflation, end of period consumer prices",Index,3.391,37.443,70.004,79.385,91.8,100
Albania,"Inflation, end of period consumer prices",Percent change,--,6.015,4.205,2.038,3.495,1.937
Albania,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Albania,Volume of imports of goods and services,Percent change,0,0,-3.432,8.434,-9.316,0.076
Albania,Volume of Imports of goods,Percent change,0,0,-14.3,9.912,-10.946,2.168
Albania,Volume of exports of goods and services,Percent change,0,--,16.254,6.026,10.473,5.272
Albania,Volume of exports of goods,Percent change,0,--,-7.088,2.948,60.916,4.356
Albania,Unemployment rate,Percent of total labor force,8.457,12.9,16.8,14.1,14,17.1
Albania,Employment,Persons,,,,,,
Albania,Population,Persons,3.287,3.188,3.089,3.011,2.913,2.881
Albania,General government revenue,National currency,,,130.642,204.533,320.653,379.231
Albania,General government revenue,Percent of GDP,,,26.066,25.434,25.867,26.44
Albania,General government total expenditure,National currency,,,169.596,232.339,364.29,441.161
Albania,General government total expenditure,Percent of GDP,,,33.838,28.892,29.387,30.758
Albania,General government net lending/borrowing,National currency,,,-38.954,-27.806,-43.637,-61.931
Albania,General government net lending/borrowing,Percent of GDP,,,-7.772,-3.458,-3.52,-4.318
Albania,General government structural balance,National currency,,,,,,
Albania,General government structural balance,Percent of potential GDP,,,,,,
Albania,General government primary net lending/borrowing,National currency,,,-9.381,-1.777,-2.033,-23.288
Albania,General government primary net lending/borrowing,Percent of GDP,,,-1.872,-0.221,-0.164,-1.624
Albania,General government net debt,National currency,,,,,,986.827
Albania,General government net debt,Percent of GDP,,,,,,68.802
Albania,General government gross debt,National currency,,,319.608,468.05,715.517,"1,057.32"
Albania,General government gross debt,Percent of GDP,,,63.769,58.203,57.72,73.716
Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,20.006,267.424,501.199,804.163,"1,239.65","1,434.31"
Albania,Current account balance,U.S. dollars,-0.096,-0.057,-0.246,-0.733,-1.351,-0.981
Albania,Current account balance,Percent of GDP,-4.313,-1.968,-7.07,-9.106,-11.321,-8.609
Algeria,"Gross domestic product, constant prices",National currency,"3,434.66","3,473.58","4,103.98","5,285.44","5,988.70","7,050.79"
Algeria,"Gross domestic product, constant prices",Percent change,0.8,3.848,3.8,5.9,3.616,3.7
Algeria,"Gross domestic product, current prices",National currency,554.4,"2,004.99","4,123.50","7,562.00","11,991.56","16,712.69"
Algeria,"Gross domestic product, current prices",U.S. dollars,61.892,42.066,54.749,103.198,161.207,165.979
Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,178.817,204.126,261.998,378.416,471.208,477.358
Algeria,"Gross domestic product, deflator",Index,16.141,57.721,100.476,143.072,200.237,237.033
Algeria,"Gross domestic product per capita, constant prices",National currency,"137,265.75","123,791.08","134,530.28","160,871.84","166,454.45","176,432.86"
Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"9,037.87","8,150.67","8,857.76","10,592.15","10,959.72","11,616.72"
Algeria,"Gross domestic product per capita, current prices",National currency,"22,156.50","71,453.67","135,170.13","230,162.84","333,302.68","418,203.99"
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,"2,473.51","1,499.14","1,794.70","3,141.03","4,480.72","4,153.32"
Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,"7,146.41","7,274.61","8,588.41","11,517.75","13,097.10","11,944.99"
Algeria,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Algeria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.649,0.53,0.521,0.555,0.525,0.429
Algeria,Implied PPP conversion rate,National currency per current international dollar,3.1,9.822,15.739,19.983,25.449,35.011
Algeria,Total investment,Percent of GDP,28.896,31.571,23.563,31.656,41.43,50.781
Algeria,Gross national savings,Percent of GDP,31.077,26.254,40.261,52.143,48.936,34.326
Algeria,"Inflation, average consumer prices",Index,21.17,70.823,95.969,111.472,136.23,172.653
Algeria,"Inflation, average consumer prices",Percent change,9.272,29.8,0.3,1.382,3.911,4.784
Algeria,"Inflation, end of period consumer prices",Index,21.17,70.823,95.969,111.49,138.216,176.08
Algeria,"Inflation, end of period consumer prices",Percent change,47.373,29.8,0.3,1.226,2.725,4.362
Algeria,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Algeria,Volume of imports of goods and services,Percent change,-9,2,7.6,6.465,-0.038,-6.076
Algeria,Volume of Imports of goods,Percent change,97.622,6.099,4.196,6.857,-0.062,-5.546
Algeria,Volume of exports of goods and services,Percent change,3.4,5.733,3.325,4.954,-3.218,5.733
Algeria,Volume of exports of goods,Percent change,6.242,6.892,4.952,5.276,-2.883,1.755
Algeria,Unemployment rate,Percent of total labor force,19.757,28.105,29.496,15.265,9.961,11.214
Algeria,Employment,Persons,,,,,,
Algeria,Population,Persons,25.022,28.06,30.506,32.855,35.978,39.963
Algeria,General government revenue,National currency,160.2,600.847,"1,578.16","3,080.70","4,462.33","5,104.74"
Algeria,General government revenue,Percent of GDP,28.896,29.968,38.272,40.739,37.212,30.544
Algeria,General government total expenditure,National currency,142.54,589.085,"1,178.12","2,049.90","4,466.94","7,656.33"
Algeria,General government total expenditure,Percent of GDP,25.711,29.381,28.571,27.108,37.251,45.811
Algeria,General government net lending/borrowing,National currency,17.66,11.762,400.037,"1,030.79",-4.613,"-2,551.60"
Algeria,General government net lending/borrowing,Percent of GDP,3.185,0.587,9.701,13.631,-0.038,-15.267
Algeria,General government structural balance,National currency,,,,,,
Algeria,General government structural balance,Percent of potential GDP,,,,,,
Algeria,General government primary net lending/borrowing,National currency,26.66,51.304,522.273,"1,013.30",-60.823,"-2,647.75"
Algeria,General government primary net lending/borrowing,Percent of GDP,4.809,2.559,12.666,13.4,-0.507,-15.843
Algeria,General government net debt,National currency,,"2,331.02","2,591.58",146.981,"-4,041.68","-1,275.29"
Algeria,General government net debt,Percent of GDP,,116.261,62.849,1.944,-33.704,-7.631
Algeria,General government gross debt,National currency,,"2,086.02","2,390.00","1,989.67","1,258.11","1,459.57"
Algeria,General government gross debt,Percent of GDP,,104.041,57.96,26.311,10.492,8.733
Algeria,"Gross domestic product corresponding to fiscal year, current prices",National currency,554.4,"2,004.99","4,123.50","7,562.00","11,991.56","16,712.69"
Algeria,Current account balance,U.S. dollars,1.35,-2.237,9.142,21.183,12.157,-27.29
Algeria,Current account balance,Percent of GDP,2.181,-5.318,16.699,20.526,7.541,-16.442
Andorra,"Gross domestic product, constant prices",National currency,,,1.992,2.789,2.602,2.48
Andorra,"Gross domestic product, constant prices",Percent change,,,,5.398,-1.975,1.434
Andorra,"Gross domestic product, current prices",National currency,,,1.551,2.541,2.602,2.515
Andorra,"Gross domestic product, current prices",U.S. dollars,,,1.429,3.158,3.446,2.789
Andorra,"Gross domestic product, current prices",Purchasing power parity; international dollars,,,2.221,3.488,3.577,3.784
Andorra,"Gross domestic product, deflator",Index,,,77.879,91.107,100,101.403
Andorra,"Gross domestic product per capita, constant prices",National currency,,,,,"37,022.48","34,569.37"
Andorra,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,,,,,"60,467.09","56,460.54"
Andorra,"Gross domestic product per capita, current prices",National currency,,,,,"37,022.48","35,054.23"
Andorra,"Gross domestic product per capita, current prices",U.S. dollars,,,,,"49,030.23","38,877.49"
Andorra,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,,,,,"50,887.54","52,747.89"
Andorra,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,
Andorra,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,0.004,0.005,0.004,0.003
Andorra,Implied PPP conversion rate,National currency per current international dollar,,,0.698,0.728,0.728,0.665
Andorra,Total investment,Percent of GDP,,,,,,
Andorra,Gross national savings,Percent of GDP,,,,,,
Andorra,"Inflation, average consumer prices",Index,,,,84.951,94.798,97.891
Andorra,"Inflation, average consumer prices",Percent change,,,,3.528,1.71,-1.133
Andorra,"Inflation, end of period consumer prices",Index,,,,86.09,95.65,97.55
Andorra,"Inflation, end of period consumer prices",Percent change,,,,3.275,1.69,-0.53
Andorra,Six-month London interbank offered rate (LIBOR),Percent,,,,,,
Andorra,Volume of imports of goods and services,Percent change,,,,,,
Andorra,Volume of Imports of goods,Percent change,,,,,,
Andorra,Volume of exports of goods and services,Percent change,,,,,,
Andorra,Volume of exports of goods,Percent change,,,,,,
Andorra,Unemployment rate,Percent of total labor force,,,,,3.225,3.575
Andorra,Employment,Persons,,,,,0.043,0.041
Andorra,Population,Persons,,,,,0.07,0.072
Andorra,General government revenue,National currency,,,,0.591,0.74,0.878
Andorra,General government revenue,Percent of GDP,,,,23.253,28.453,34.905
Andorra,General government total expenditure,National currency,,,,0.593,0.75,0.827
Andorra,General government total expenditure,Percent of GDP,,,,23.34,28.802,32.904
Andorra,General government net lending/borrowing,National currency,,,,-0.002,-0.009,0.05
Andorra,General government net lending/borrowing,Percent of GDP,,,,-0.087,-0.349,2.001
Andorra,General government structural balance,National currency,,,,,,
Andorra,General government structural balance,Percent of potential GDP,,,,,,
Andorra,General government primary net lending/borrowing,National currency,,,,,,
Andorra,General government primary net lending/borrowing,Percent of GDP,,,,,,
Andorra,General government net debt,National currency,,,,,,
Andorra,General government net debt,Percent of GDP,,,,,,
Andorra,General government gross debt,National currency,,,,0.375,0.908,1.03
Andorra,General government gross debt,Percent of GDP,,,,14.761,34.875,40.942
Andorra,"Gross domestic product corresponding to fiscal year, current prices",National currency,,,1.551,2.541,2.602,2.515
Andorra,Current account balance,U.S. dollars,,,,,,
Andorra,Current account balance,Percent of GDP,,,,,,
Angola,"Gross domestic product, constant prices",National currency,252.756,427.141,561.76,874.608,"1,307.70","1,631.04"
Angola,"Gross domestic product, constant prices",Percent change,-3.45,10.364,3.055,15.029,4.859,0.944
Angola,"Gross domestic product, current prices",National currency,--,0.017,112.118,"3,222.35","7,701.65","13,950.29"
Angola,"Gross domestic product, current prices",U.S. dollars,12.571,6.197,11.166,36.971,83.799,116.194
Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,19.681,37.541,53.636,93.652,153.887,204.604
Angola,"Gross domestic product, deflator",Index,--,0.004,19.958,368.434,588.945,855.299
Angola,"Gross domestic product per capita, constant prices",National currency,"19,837.09","28,917.56","32,806.18","44,058.75","56,825.27","61,131.26"
Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,"2,723.23","3,969.80","4,503.63","6,048.38","7,800.96","8,392.09"
