Country Name,"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
Afghanistan,2.071348579
Albania,1.359400395
Algeria,7.064889165
American Samoa,1.354440538
Andorra,1.01247848
Angola,29.06595449
Antigua and Barbuda,2.251166602
Argentina,40.01216527
Armenia,2.787709514
Aruba,
Australia,1.885615996
Austria,1.713296752
Azerbaijan,12.18443296
"Bahamas, The",1.192287471
Bahrain,4.346019188
Bangladesh,5.597397181
Barbados,2.776033594
Belarus,12.13922998
Belgium,1.625329411
Belize,0.1732505008
Benin,0.5898272107
Bermuda,1.587942931
Bhutan,1.759330695
Bolivia,3.056265753
Bosnia and Herzegovina,2.747630824
Botswana,1.167155782
Brazil,4.493534332
British Virgin Islands,
Brunei Darussalam,9.217653488
Bulgaria,4.012248585
Burkina Faso,2.03309234
Burundi,-2.850857066
Cabo Verde,1.52382748
Cambodia,3.111821368
Cameroon,1.599369993
Canada,1.756738587
Cayman Islands,2.590650568
Central African Republic,-1.224117158
Chad,5.014657778
Channel Islands,
Chile,2.360583375
China,3.499747636
Colombia,4.630579673
Comoros,1.162806548
"Congo, Dem. Rep.",28.96934373
"Congo, Rep.",23.40686244
Costa Rica,2.61426631
Cote d'Ivoire,0.634843913
Croatia,2.000307415
Cuba,1.031341929
Curacao,2.584624534
Cyprus,1.218685241
Czech Republic,2.568094546
Denmark,0.7478568381
Djibouti,1.006632837
Dominica,3.627561175
Dominican Republic,4.121489687
Ecuador,1.818873571
"Egypt, Arab Rep.",21.42622592
El Salvador,1.716294808
Equatorial Guinea,9.513842918
Eritrea,
Estonia,4.024454151
Eswatini,2.81257876
Ethiopia,12.38229481
Faroe Islands,
Fiji,1.425825116
Finland,2.002209227
France,0.9922245664
French Polynesia,
Gabon,7.139266636
"Gambia, The",6.951764038
Georgia,4.361109044
Germany,1.974717161
Ghana,10.15694881
Gibraltar,
Greece,-0.1035725444
Greenland,0.02639105099
Grenada,-0.3075346056
Guam,1.546135263
Guatemala,1.189612962
Guinea,7.05908442
Guinea-Bissau,5.249994642
Guyana,-2.88755944
Haiti,10.10600708
Honduras,1.947216915
"Hong Kong SAR, China",3.657551022
Hungary,4.8327425
Iceland,2.652950624
India,3.737251671
Indonesia,3.818323569
"Iran, Islamic Rep.",32.89860856
Iraq,12.5939617
Ireland,0.711919255
Isle of Man,1.299978417
Israel,1.258051298
Italy,1.062151927
Jamaica,4.99324115
Japan,0.004628939019
Jordan,1.711128061
Kazakhstan,9.205605991
Kenya,2.422470697
Kiribati,5.321224466
"Korea, Dem. People's Rep.",
"Korea, Rep.",0.4829489831
Kosovo,1.015513802
Kuwait,12.58351759
Kyrgyz Republic,3.447445123
Lao PDR,1.919889194
Latvia,3.904932686
Lebanon,5.457614289
Lesotho,9.622803752
Liberia,-1.85292811
Libya,18.12364521
Liechtenstein,
Lithuania,3.528439716
Luxembourg,2.511835998
"Macao SAR, China",3.543507356
Madagascar,7.146033819
Malawi,6.150340217
Malaysia,0.6734826072
Maldives,3.117344966
Mali,1.457963911
Malta,2.25673045
Marshall Islands,0.5686549163
Mauritania,1.808331878
Mauritius,1.44727208
Mexico,4.94131461
"Micronesia, Fed. Sts.",9.386340012
Moldova,3.180023176
Monaco,0.8547125724
Mongolia,8.411834917
Montenegro,3.226151899
Morocco,1.089633983
Mozambique,3.00116964
Myanmar,6.265218659
Namibia,4.371192674
Nauru,3.788436133
Nepal,4.355858468
Netherlands,2.437090745
New Caledonia,
New Zealand,2.035857045
Nicaragua,2.658496136
Niger,2.432600019
Nigeria,10.22848509
North Macedonia,3.926186457
Northern Mariana Islands,3.479697828
Norway,6.651607899
Oman,12.00849361
Pakistan,2.459286095
Palau,-5.805412025
Panama,0.7564718923
Papua New Guinea,9.797605661
Paraguay,1.960248198
Peru,2.267261262
Philippines,3.74065383
Poland,1.201608998
Portugal,1.81299623
Puerto Rico,1.78495666
Qatar,12.41440354
Romania,6.186225461
Russian Federation,9.997924911
Rwanda,-0.6260327697
Samoa,2.023449226
San Marino,2.013180098
Sao Tome and Principe,1.715798347
Saudi Arabia,11.50846501
Senegal,-0.8396444647
Serbia,1.974942562
Seychelles,4.654017874
Sierra Leone,13.42602679
Singapore,3.347638991
Sint Maarten (Dutch part),6.514233855
Slovak Republic,2.03729605
Slovenia,2.116788342
Solomon Islands,2.938071179
Somalia,5.629290053
South Africa,3.916539626
South Sudan,
Spain,1.245255115
Sri Lanka,3.826651153
St. Kitts and Nevis,-1.488877755
St. Lucia,0.6832560548
St. Martin (French part),
St. Vincent and the Grenadines,0.2454419908
Sudan,57.11773314
Suriname,5.662827217
Sweden,2.396920335
Switzerland,0.7484082117
Syrian Arab Republic,
Tajikistan,2.492227082
Tanzania,2.975536836
Thailand,1.432248539
Timor-Leste,-1.427360983
Togo,1.33588276
Tonga,5.149662807
Trinidad and Tobago,5.577266361
Tunisia,6.47883106
Turkey,16.48528446
Turkmenistan,1.21087594
Turks and Caicos Islands,3.097863612
Tuvalu,4.924068109
Uganda,4.535752752
Ukraine,15.39799812
United Arab Emirates,8.206537296
United Kingdom,2.249611765
United States,2.400981114
Uruguay,7.10189068
Uzbekistan,27.47030627
Vanuatu,3.207796452
"Venezuela, RB",
Vietnam,3.398105023
Virgin Islands (U.S.),0.8159016098
West Bank and Gaza,-0.3019927252
"Yemen, Rep.",14.85366497
Zambia,7.411883661
Zimbabwe,61.31098638
